idx,target
t_223,4
t_224,0
t_225,1
t_226,1
t_227,4
t_228,4
t_229,0
t_230,0
t_231,4
t_232,4
t_233,4
t_234,4
t_235,4
t_236,4
t_237,4
t_238,4
t_239,1
t_240,4
t_241,0
t_242,1
t_243,4
t_244,4
t_245,1
t_246,4
t_247,4
t_248,0
t_249,1
t_250,4
t_251,4
t_252,4
t_253,1
t_254,4
t_255,4
t_256,4
t_257,4
t_258,4
t_259,4
t_260,0
t_261,1
t_262,4
t_263,4
t_264,4
t_265,4
t_266,4
t_267,0
t_268,4
t_269,4
t_270,4
t_271,4
t_272,4
t_273,1
t_274,4
t_275,1
t_276,1
t_277,4
t_278,4
t_279,4
t_280,4
t_281,4
t_282,4
t_283,0
t_284,0
t_285,1
t_286,4
t_287,4
t_288,4
t_289,4
t_290,1
t_291,4
t_292,1
t_293,4
t_294,4
t_295,4
t_296,0
t_297,4
t_298,4
t_299,4
t_300,1
t_301,1
t_302,4
t_303,4
t_304,4
t_305,4
t_306,4
t_307,4
t_308,4
t_309,0
t_310,1
t_311,4
t_312,1
t_313,1
t_314,4
t_315,0
t_316,4
t_317,4
t_318,4
t_319,4
t_320,1
t_321,0
t_322,1
t_323,4
t_324,4
t_325,4
t_326,4
t_327,0
t_328,4
t_329,0
t_330,4
t_331,4
t_332,1
t_333,4
t_334,1
t_335,1
t_336,0
t_337,4
t_338,4
t_339,1
t_340,0
t_341,4
t_342,4
t_343,0
t_344,4
t_345,4
t_346,4
t_347,1
t_348,1
t_349,4
t_350,0
t_351,0
t_352,4
t_353,4
t_354,4
t_355,4
t_356,4
t_357,1
t_358,4
t_359,1
t_360,1
t_361,1
t_362,4
t_363,1
t_364,4
t_365,1
t_366,1
t_367,4
t_368,4
t_369,4
t_370,4
t_371,0
t_372,4
t_373,4
t_374,4
t_375,4
t_376,4
t_377,4
t_378,4
t_379,4
t_380,4
t_381,1
t_382,0
t_383,4
t_384,4
t_385,4
t_386,1
t_387,4
t_388,1
t_389,4
t_390,1
t_391,4
t_392,4
t_393,0
t_394,4
t_395,4
t_396,4
t_397,1
t_398,1
t_399,1
t_400,4
t_401,4
t_402,1
t_403,4
t_404,4
t_405,4
t_406,0
t_407,1
t_408,4
t_409,4
t_410,4
t_411,1
t_412,1
t_413,4
t_414,4
t_415,1
t_416,4
t_417,1
t_418,4
t_419,1
t_420,4
t_421,1
t_422,1
t_423,4
t_424,4
t_425,1
t_426,4
t_427,1
t_428,1
t_429,4
t_430,4
t_431,1
t_432,4
t_433,4
t_434,1
t_435,4
t_436,4
t_437,4
t_438,1
t_439,4
t_440,1
t_441,1
t_442,4
t_443,4
t_444,1
t_445,1
t_446,4
t_447,4
t_448,0
t_449,4
t_450,4
t_451,4
t_452,4
t_453,1
t_454,4
t_455,4
t_456,1
t_457,4
t_458,4
t_459,4
t_460,0
t_461,0
t_462,4
t_463,4
t_464,1
t_465,4
t_466,1
t_467,4
t_468,1
t_469,1
t_470,4
t_471,4
t_472,4
t_473,1
t_474,4
t_475,1
t_476,4
t_477,4
t_478,4
t_479,4
t_480,4
t_481,4
t_482,4
t_483,4
t_484,4
t_485,1
t_486,1
t_487,1
t_488,4
t_489,1
t_490,4
t_491,1
t_492,4
t_493,1
t_494,4
t_495,4
t_496,4
t_497,4
t_498,4
t_499,1
